ITEM_CODE','START_DATE','END_DATE',AMOUNT',STATE'
'70293',1/1/2022,12/31/2099,40.8,PA
'70294',6/4/2022,12/31/2099,28.66,PA
'70294',1/13/2022,6/3/2022,25.65,PA
'70296',5/1/2022,12/31/2099,49.49,PA
'70299',7/9/2022,12/31/2099,41.48,PA
'70299',4/23/2022,7/8/2022,41.2,PA
'70309',3/12/2022,12/31/2099,58.02,PA
'70310',4/28/2022,12/31/2099,30.76,PA
'70311',2/26/2022,12/31/2099,33.94,PA
'70313',12/14/2021,12/31/2099,17.75,PA
'70315',12/14/2021,12/31/2099,17.75,PA
'70316',12/14/2021,12/31/2099,17.75,PA
'70317',12/14/2021,12/31/2099,17.75,PA
'70320',12/14/2021,12/31/2099,29.99,PA
'70321',12/14/2021,12/31/2099,23.19,PA
'70324',6/4/2022,12/31/2099,69.08,PA
'70324',1/15/2022,6/3/2022,64.32,PA
'70329',12/14/2021,12/31/2099,5,PA
'70332',12/14/2021,12/31/2099,482.58,PA
'70343',1/8/2022,12/31/2099,27.61,PA
'70347',5/28/2022,12/31/2099,40.99,PA
'70347',1/8/2022,5/27/2022,36.66,PA
'70349',5/28/2022,12/31/2099,40.99,PA
'70349',1/8/2022,5/27/2022,36.66,PA
'70350',1/10/2020,12/31/2099,22.39,PA
'70351',5/28/2022,12/31/2099,40.99,PA
'70351',1/8/2022,5/27/2022,36.66,PA
'70352',12/14/2021,12/31/2099,631.65,PA
'70356',2/3/2022,12/31/2099,27.83,PA
'70364',5/1/2022,12/31/2099,27.01,PA
'70369',5/1/2022,12/31/2099,27.01,PA
'70371',4/30/2022,12/31/2099,135.18,PA
'70373',5/1/2022,12/31/2099,33.26,PA
'70376',5/1/2022,12/31/2099,27.01,PA
'70394',6/11/2022,12/31/2099,117,PA
'70394',12/16/2021,6/10/2022,112.58,PA
'70395',12/17/2021,12/31/2099,22.53,PA
'70397',7/30/2022,12/31/2099,35.24,PA
'70397',1/10/2020,7/29/2022,33.54,PA
'70398',1/27/2022,12/31/2099,11.75,PA
'70399',1/27/2022,12/31/2099,11.75,PA
'70400',1/27/2022,12/31/2099,11.75,PA
'70403',1/29/2022,7/29/2022,104,PA
'70403',7/30/2022,12/31/2099,116.38,PA
'70406',1/27/2022,12/31/2099,11.75,PA
'70407',4/16/2022,12/31/2099,30.13,PA
'70409',5/14/2022,12/31/2099,16.36,PA
'70410',4/16/2022,12/31/2099,30.13,PA
'70411',6/4/2022,12/31/2099,39.95,PA
'70411',3/5/2022,6/3/2022,36.38,PA
'70413',12/20/2021,12/31/2099,136.11,PA
'70414',6/25/2022,12/31/2099,10.67,PA
'70414',12/20/2021,6/24/2022,41.13,PA
'70416',12/20/2021,12/31/2099,40.35,PA
'70418',12/20/2021,12/31/2099,192.35,PA
'70420',2/26/2022,12/31/2099,534.98,PA
'70421',5/14/2022,12/31/2099,250.86,PA
'70422',2/26/2022,12/31/2099,245.94,PA
'70423',5/21/2022,12/31/2099,37.85,PA
'70424',5/21/2022,12/31/2099,37.85,PA
'70427',12/22/2021,12/31/2099,22,PA
'70428',12/22/2021,12/31/2099,22.7,PA
'70436',5/7/2022,12/31/2099,23.3,PA
'70437',4/16/2022,12/31/2099,69.65,PA
